sentence,logit,prediction,sentiment_score
"Walmart launches highly anticipated delivery service,?",[0.70364165 0.02304607 0.27331233],positive,0.6805956
"ByteDance will not sell TikTok's U S  operations to Oracle - CGTN Digital,?",[0.02889002 0.1053622  0.8657478 ],neutral,-0.07647218
"Oracle chosen to acquire TikTok U S  as tech partner (updated),?",[0.06385088 0.0238947  0.9122544 ],neutral,0.039956175
"TikTok rejects Microsoft bid for U S  operations,?",[0.02753629 0.8980959  0.07436781],negative,-0.87055963
"""TikTok presses toward U S  deal as hurdles mount, deadline nears - Bloomberg"",?",[0.4349235  0.12722565 0.43785083],neutral,0.30769783
"China prefers TikTok shutdown to forced sale - Reuters,?",[0.08984601 0.22362548 0.6865285 ],neutral,-0.13377947
"There will be no extension of TikTok deadline - Trump,?",[0.05028867 0.06638385 0.8833275 ],neutral,-0.016095176
"Walmart and Schneider push for renewable energy transition,?",[0.10251737 0.00974285 0.8877398 ],neutral,0.092774525
"""TikTok, U S  in talks over ways to avoid sale"",?",[0.08144176 0.0989717  0.8195865 ],neutral,-0.017529942
"Walmart to test using drones for deliveries,?",[0.07446384 0.02305301 0.90248317],neutral,0.05141083
"Investors chip away at specialty retail names,?",[0.05977204 0.5192578  0.42097017],negative,-0.45948574
"TikTok buyers explore four options to revive buyout talks - Reuters,?",[0.4355169  0.01957332 0.5449098 ],neutral,0.41594356
"TikTok deal tangles on whether algorithms can be sold - WSJ,?",[0.04134978 0.14729501 0.81135523],neutral,-0.10594523
"Macy 셲 helping department stores show signs of life: At the Open,?",[0.24901825 0.06344245 0.68753934],neutral,0.18557581
"""Walmart sized up after run to new high, Walmart+ introduction"",?",[0.77633405 0.05012741 0.17353858],positive,0.72620666
"Oak Street to open three health clinics with Walmart in Texas,?",[0.29463318 0.01968386 0.68568295],neutral,0.2749493
"Walmart+ a hit on Wall Street and Main Street at first blush,?",[0.40007693 0.2345894  0.36533374],positive,0.16548753
"Murphy USA and Walmart extend partnership to membership service,?",[0.73712546 0.01174959 0.25112495],positive,0.7253759
"""Walmart+ focuses on loyalty, not competition with Amazon Prime"",?",[0.21984343 0.00780918 0.7723474 ],neutral,0.21203424
"Walmart -2% on downgrade citing 'muted outlook',?",[0.01883228 0.9569174  0.02425028],negative,-0.93808514
"""ByteDance will follow new China export laws, denies Triller talks"",?",[0.15196906 0.04251374 0.8055172 ],neutral,0.10945532
"""China tightens tech export rules, complicating TikTok talks"",?",[0.11975264 0.78615564 0.09409177],negative,-0.666403
"""Centricus, Triller propose new TikTok purchase"",?",[0.0593429  0.01312986 0.9275272 ],neutral,0.046213035
"Financials have a shot to lead the week as rates bounce: At the Open,?",[0.36688924 0.13919328 0.49391744],neutral,0.22769596
"""Walmart first sought to be majority TikTok owner, with Alphabet/SoftBank - CNBC"",?",[0.06321339 0.0049561  0.93183047],neutral,0.05825728
"Walmart teams with Microsoft on TikTok bid - CNBC (updated),?",[0.54835993 0.11135843 0.34028167],positive,0.4370015
"""TikTok sale likely in coming days, in $20B-$30B range - CNBC"",?",[0.09232868 0.01763307 0.89003825],neutral,0.0746956
"Amazon expands beyond Whole Foods with first Fresh store,?",[0.85583925 0.00912335 0.13503729],positive,0.8467159
"DoorDash plans for IPO in Q4 as demand stays strong,?",[0.4280253  0.10291954 0.46905518],neutral,0.32510576
"Retailers scramble with holiday shopping expected to be heavily online,?",[0.17132731 0.21423772 0.61443496],neutral,-0.042910412
"Bidding could heat up for Walmart's Asda,?",[0.21986209 0.01690684 0.76323104],neutral,0.20295525
"Consumer smallcap ETFs harbor alpha as battle for wallets heats up,?",[0.32681632 0.0807428  0.5924409 ],neutral,0.24607351
"""Target kills it with digital, but watch private label: At the Open"",?",[0.03486757 0.05969048 0.90544194],neutral,-0.02482291
"Walmart turns lower after pointing to normalizing trends,?",[0.01668216 0.9532971  0.03002082],negative,-0.93661493
"Walmart +6% after e-commerce surge leads to earnings smasher,?",[0.04392887 0.94449204 0.01157912],negative,-0.9005632
"""Walmart EPS beats by $0 31, beats on revenue"",?",[0.40744203 0.13082635 0.4617316 ],neutral,0.27661568
"Walmart Q2 2021 Earnings Preview,?",[0.08756435 0.51776296 0.39467272],negative,-0.4301986
"""The retailers to gain from the new normal, in D A  Davidson initiation"",?",[0.30365336 0.02345599 0.6728907 ],neutral,0.28019738
"Walmart to extend store hours at majority of stores,?",[0.05234502 0.5943056  0.35334942],negative,-0.54196054
"WeChat ban challenges Apple's $44B market in China,?",[0.02521688 0.9174249  0.05735824],negative,-0.89220804
"""At-home food inflation dips in July, but consumers still feeling the pinch"",?",[0.12558948 0.6756006  0.19880994],negative,-0.5500111
"Walmart and Instacart to expand partnership,?",[0.908675   0.0119579  0.07936698],positive,0.89671713
"UPS tacks on extra fees to prep for huge holiday rush,?",[0.1329032  0.19002253 0.67707425],neutral,-0.057119325
"Sanders goes after pandemic wealth gains as Biden moves closer on taxes,?",[0.3838534  0.2923531  0.32379347],positive,0.09150031
"Walmart unveils drive-in theater plan,?",[0.14139436 0.02674694 0.8318587 ],neutral,0.11464742
"Another delay for Walmart's same-day delivery service amid the pandemic,?",[0.02238073 0.9014614  0.07615789],negative,-0.8790807
"Plug Power pops on U K  supermarket deal,?",[0.08133134 0.16138901 0.7572797 ],neutral,-0.080057666
"""Walmart memo points to cutting jobs in """"streamlining"""""",?",[0.02805701 0.9315519  0.04039106],negative,-0.9034949
"Beyond Meat shares fall as Impossible Burger hits Walmart,?",[0.01578843 0.9539744  0.03023716],negative,-0.938186
"""Best Buy, Target, Dick's and Walmart will be closed for Thanksgiving Day 2020"",?",[0.02817057 0.19276188 0.7790675 ],neutral,-0.16459131
"""Flipkart gets aggressive in India with deliveries, hyperlocal business"",?",[0.87831956 0.01604847 0.10563197],positive,0.8622711
"Walmart preps to take Asda bids,?",[0.09450135 0.01394504 0.8915536 ],neutral,0.08055632
"FDA warns on toxic hand sanitizers,?",[0.0215674 0.907603  0.0708295],negative,-0.8860356
"Walmart turns up health moves with plans for six more Atlanta clinics,?",[0.32345775 0.02889838 0.6476438 ],neutral,0.29455936
"Ascena Retail joins the retail graveyard with bankruptcy filing,?",[0.04081785 0.09170325 0.8674789 ],neutral,-0.050885405
"India roundup: Amazon makes foray into auto insurance,?",[0.7493486  0.01077986 0.23987158],positive,0.7385687
"Walmart to pay out another $428M in bonuses,?",[0.08606844 0.6034242  0.3105073 ],negative,-0.51735574
"Walmart looks to modernize in Canada,?",[0.59714407 0.01376584 0.38909006],positive,0.58337826
"Walmart starts to shop Asda again,?",[0.2958899  0.12352175 0.5805883 ],neutral,0.17236817
"Retail sector tripped up again by COVID-19 anxiety,?",[0.01821204 0.94836724 0.03342075],negative,-0.9301552
"Walmart to require face coverings in U S ,?",[0.0733917  0.1528946  0.77371365],neutral,-0.0795029
"Walmart invests $1 2B in Flipkart's commerce business,?",[0.06745344 0.00734259 0.925204  ],neutral,0.06011085
"Walmart seen getting big boost from online delivery play,?",[0.927802   0.01901979 0.05317819],positive,0.90878224
"""Walmart a 'sleeping giant' in health care, Morgan Stanley says"",?",[0.07307646 0.10953177 0.81739175],neutral,-0.03645531
"Costco looks more indicative of consumer staples trends than Walgreens,?",[0.08628135 0.01351792 0.9002007 ],neutral,0.07276343
"Amazon pulls Washington Redskins merch as team weighs name change,?",[0.0489759  0.47351834 0.47750574],neutral,-0.42454243
"Walmart jobs ads hint at healthcare insurance move,?",[0.06352542 0.59197295 0.34450164],negative,-0.5284475
"Walmart takes on Amazon with $98/year delivery service - Recode,?",[0.5098517  0.05223352 0.43791476],positive,0.45761818
"UBS reviews names to watch in 'consumerization of healthcare',?",[0.03985329 0.03861342 0.9215333 ],neutral,0.0012398697
"Walmart lands bullish upgrade from UBS,?",[0.7600042  0.18628706 0.05370881],positive,0.5737172
"Walmart discloses 10 7% stake in Dada Nexus,?",[0.0320102  0.02772794 0.94026184],neutral,0.0042822603
"Party hats in the retail sector,?",[0.07534985 0.32230553 0.6023446 ],neutral,-0.24695568
"Internet still the retail hero,?",[0.10847365 0.06386296 0.82766336],neutral,0.044610694
"Walmart testing self-checkout only location,?",[0.02956947 0.05528634 0.9151442 ],neutral,-0.025716871
"Walmart buys Carezone technology for prescription management,?",[0.5431716  0.02475943 0.432069  ],positive,0.5184122
"Shopify jumps 4% after Walmart partnership,?",[0.89528376 0.06313945 0.04157683],positive,0.8321443
"EV semis move toward proof of concept,?",[0.5216518  0.03396215 0.44438607],positive,0.48768964
"Inflation data show food-at-home still a retail tailwind for some - Nomura,?",[0.0358524  0.8631012  0.10104645],negative,-0.8272488
"Investors take refuge in Walmart,?",[0.03953117 0.67711025 0.28335857],negative,-0.6375791
"Rural is the retail sweet spot,?",[0.06778968 0.17143992 0.7607704 ],neutral,-0.103650235
"HanesBrands appoints 25-year industry veteran as new CEO,?",[0.12378232 0.20488788 0.6713298 ],neutral,-0.08110556
"Investors bid up specialty retail names,?",[0.10782424 0.02343888 0.8687369 ],neutral,0.08438536
"Walmart skips big market rally,?",[0.05938446 0.68847054 0.252145  ],negative,-0.6290861
"Protests see Walmart remove guns from sales floor,?",[0.02010409 0.9175835  0.06231245],negative,-0.8974794
"Nationwide protests force retail closures,?",[0.01448725 0.94611335 0.03939937],negative,-0.9316261
"Stay-at-home selloff continues as economy revs up,?",[0.30249873 0.45779353 0.23970774],negative,-0.1552948
"Walmart teams with ThredUP to enter into fashion resale market,?",[0.87554437 0.01130054 0.11315506],positive,0.8642438
"""Averages surge, but rally cools for stay-at-home plays"",?",[0.3729609  0.43375897 0.19328016],negative,-0.06079808
"""JioMart online grocery service takes on Amazon, Flipkart"",?",[0.0355708  0.0351454  0.92928386],neutral,0.00042539835
"Odeon picks 'downtrodden' retail for reopening plays,?",[0.10731395 0.04539523 0.8472908 ],neutral,0.061918717
"Walmart at risk of spending downturn - UBS,?",[0.0159215  0.9261605  0.05791802],negative,-0.91023904
"Walmart to quadruple Sam's Clubs in China,?",[0.5203154  0.08268766 0.39699692],positive,0.43762773
"Baird finds retail trends in consumer search-term growth,?",[0.27199903 0.03703344 0.6909675 ],neutral,0.2349656
"Walmart to discontinue Jet com,?",[0.03440997 0.60132724 0.3642628 ],negative,-0.56691724
"Walmart +4% after earnings smasher,?",[0.04181213 0.8882926  0.06989527],negative,-0.8464805
"""Walmart EPS beats by $0 09, beats on revenue"",?",[0.36193144 0.12425479 0.5138138 ],neutral,0.23767665
"Retail rally ahead of Walmart earnings,?",[0.36084893 0.39140764 0.24774343],negative,-0.030558705
"Walmart Q1 2021 Earnings Preview,?",[0.09332947 0.4914326  0.41523793],negative,-0.39810315
"Panic favorites underperform as broad market rallies,?",[0.01885161 0.9600361  0.02111225],negative,-0.94118446
"Pockets of strength amid record drop in retail sales,?",[0.12468452 0.76417404 0.11114142],negative,-0.63948953
"Walmart seen turning double-digit Q1 comp,?",[0.1689398 0.5856242 0.245436 ],negative,-0.41668442
"""Seeing April trough, Nomura raises some retail price targets"",?",[0.67330146 0.11232875 0.21436974],positive,0.5609727
"Peak fear is past but consumer recovery could be slow,?",[0.03344687 0.8628897  0.10366344],negative,-0.82944286
"Walmart seen generating 9% Q1 U S  comp,?",[0.73591614 0.07041424 0.19366969],positive,0.6655019
"""Odeon finds retail opportunities, 'generational' mall prospects"",?",[0.38562334 0.0172948  0.5970819 ],neutral,0.36832854
"Meat shortage worries grow - Kroger to limit purchases,?",[0.0293011  0.87530756 0.09539143],negative,-0.84600645
"Walmart to offer faster delivery service,?",[0.66133684 0.01015423 0.32850897],positive,0.6511826
"""These retailers face up to sweeping pandemic change, UBS says"",?",[0.23605333 0.03686136 0.72708523],neutral,0.19919197
"Investors move past stockpiling bets,?",[0.06665543 0.285031   0.6483136 ],neutral,-0.21837556
"Workers start to push back on safety at essential businesses,?",[0.04908683 0.8440337  0.10687944],negative,-0.7949469
"Nomura lists retailers with exposure to reopening states,?",[0.02619872 0.08632069 0.88748056],neutral,-0.06012197
"Walmart store shut by Colorado following three coronavirus deaths,?",[0.01189376 0.952975   0.03513134],negative,-0.9410812
"Oppenheimer names top grocery picks,?",[0.05450397 0.02412641 0.9213696 ],neutral,0.03037756
"Walmart unloads Vudu to Fandango,?",[0.04563881 0.24503662 0.70932454],neutral,-0.1993978
"Time to mask up at Walmart,?",[0.1096286  0.24991398 0.64045745],neutral,-0.14028537
"Walmart ramps up hiring again,?",[0.8652009  0.06723198 0.06756714],positive,0.7979689
"Let's-go-out trade dominates retail,?",[0.1323805  0.02627636 0.8413431 ],neutral,0.10610414
"The retail rich get richer,?",[0.3414848  0.06213365 0.59638155],neutral,0.27935117
"Winners and losers from the retail sales report,?",[0.0755788  0.30146962 0.62295157],neutral,-0.22589082
"Walmart ca adds PayPal as payment option,?",[0.17664878 0.01498682 0.80836445],neutral,0.16166195
"Chain store sales go negative,?",[0.01051317 0.9671956  0.02229129],negative,-0.9566824
"Barron's doubles down on 12 YTD winners,?",[0.02173532 0.9236426  0.05462214],negative,-0.90190727
"Walmart checks all the boxes for Citi,?",[0.03336575 0.16966741 0.7969668 ],neutral,-0.13630167
"Walmart sits out big market rally,?",[0.24021725 0.1573595  0.60242325],neutral,0.08285776
"""Uber, Flipkart team for deliveries in India"",?",[0.12097602 0.01293243 0.8660916 ],neutral,0.10804358
"Walmart limits store traffic,?",[0.03017913 0.71465695 0.25516394],negative,-0.6844778
"Walmart gains on report of huge March U S  sales tally,?",[0.7149128  0.24477954 0.0403077 ],positive,0.47013324
"Walmart to keep Asda for now,?",[0.04316035 0.12906812 0.8277715 ],neutral,-0.08590777
"Big-box shocker out of Vermont,?",[0.0498466  0.48340204 0.46675137],negative,-0.43355542
"U S  starts enhanced measures to disrupt supply of illegal drugs: coronavirus briefing,?",[0.3882244  0.0438798  0.56789577],neutral,0.3443446
"Investors hunker down in Walmart and Procter &amp; Gamble again,?",[0.05622075 0.25069705 0.6930822 ],neutral,-0.1944763
"Temperature check at Walmart,?",[0.03642508 0.2301158  0.7334591 ],neutral,-0.19369072
"Investors play defense with Walmart and Procter &amp; Gamble again,?",[0.04242349 0.14291565 0.8146609 ],neutral,-0.100492164
"""Indian lockdown creates hurdles for Amazon, Flipkart"",?",[0.07497802 0.58641416 0.33860788],negative,-0.51143616
"Walmart hiring on the rise,?",[0.11224905 0.6595255  0.22822544],negative,-0.54727644
"Walmart offers rent relief for in-store partners,?",[0.23072623 0.10728389 0.66198987],neutral,0.12344234
"""State AGs ask Amazon, Walmart to prevent price gouging"",?",[0.443445   0.05616746 0.50038755],neutral,0.38727754
"Retail giants stumble despite $2T stimulus development,?",[0.01585648 0.9671354  0.01700809],negative,-0.9512789
"Let's-go-out trade dominates consumer sector,?",[0.12723579 0.03501555 0.8377487 ],neutral,0.09222023
"Odeon Capital picks retail favorites,?",[0.06089585 0.02735405 0.91175014],neutral,0.03354179
"Walmart raises minimum wage in e-commerce warehouses by $2,?",[0.40634322 0.39262083 0.20103596],positive,0.01372239
"Virus plays sold as animal spirits makes appearance,?",[0.03632217 0.1819528  0.781725  ],neutral,-0.14563063
"Walmart paying out $365M in special bonuses,?",[0.08000863 0.13492839 0.78506297],neutral,-0.054919764
"Food and grocery stocks rally as pantries stocked,?",[0.5733526  0.37606382 0.05058359],positive,0.19728875
"'Clear winner' Walmart moves to 52-week high,?",[0.859743   0.05615542 0.08410154],positive,0.80358756
"Credit Suisse bullish on Walmart amid consumer disruption,?",[0.02492294 0.92072344 0.05435359],negative,-0.89580053
"Everyone-must-eat rally takes hold,?",[0.13648632 0.3628201  0.50069356],neutral,-0.22633377
"Oppenheimer says take shelter in Walmart,?",[0.04693685 0.1907994  0.76226383],neutral,-0.14386255
"Dollar General gives seniors an early shopping window,?",[0.07545153 0.07715819 0.8473903 ],neutral,-0.0017066598
"Walmart catches bids for Asda,?",[0.08835815 0.34024742 0.5713944 ],neutral,-0.2518893
"UBS takes a crack at the retail upheaval,?",[0.10098458 0.3590107  0.54000473],neutral,-0.25802612
"Walmart and Target bid down amid giant coronavirus challenge,?",[0.01411935 0.9598783  0.02600238],negative,-0.945759
"President and retail heads urge stop to panic buying,?",[0.07069721 0.46734348 0.46195927],negative,-0.39664626
"Amazon wants to sell Go tech to Walmart,?",[0.03455425 0.01579147 0.9496543 ],neutral,0.018762786
"Grocers are struggling to keep up with demand - WSJ,?",[0.01594857 0.9540863  0.02996507],negative,-0.9381377
"Walmart cuts store hours due to coronavirus,?",[0.01209423 0.9639834  0.02392234],negative,-0.95188916
"President Trump declares national emergency over coronavirus,?",[0.02844665 0.79680365 0.17474975],negative,-0.768357
"Crushing day for retail as coronavirus reality sets in,?",[0.06861405 0.60351    0.32787588],negative,-0.53489596
"Which S&amp;P 500 stocks have gained over the past month ,?",[0.8489651  0.04276637 0.10826849],positive,0.8061987
"Walmart reacts to coronavirus case,?",[0.05298526 0.6791045  0.2679102 ],negative,-0.62611926
"Retailers that are winning amid the coronavirus outbreak,?",[0.47857374 0.15553226 0.36589396],positive,0.3230415
"Select retailers fight the weak tape,?",[0.10277082 0.44262463 0.4546045 ],neutral,-0.33985382
"Retail starts to crack under coronavirus pressure,?",[0.02988615 0.8762075  0.09390639],negative,-0.84632134
"Retail execs don't sound alarmed,?",[0.05194731 0.44142848 0.5066242 ],neutral,-0.3894812
"Yes Bank taken over by India's central bank,?",[0.02826139 0.09011717 0.8816215 ],neutral,-0.061855778
"Big let's-stock-up rally in retail,?",[0.49879485 0.1201094  0.3810957 ],positive,0.37868544
"Walmart discusses 5G partnership with Verizon,?",[0.40128058 0.01460075 0.58411866],neutral,0.38667983
"Consumer heavyweights battered on coronavirus fears,?",[0.01866493 0.92924803 0.05208707],negative,-0.9105831
"Walmart eyes Asda sale,?",[0.04255779 0.06256957 0.89487267],neutral,-0.020011783
"Debut of Walmart Fulfillment Services,?",[0.13532656 0.01199476 0.8526787 ],neutral,0.12333181
"Walmart changes merchandise buying strategy,?",[0.1673433  0.23671564 0.59594107],neutral,-0.06937234
"Amazon Go Grocery opens in Seattle,?",[0.04746486 0.05743163 0.8951036 ],neutral,-0.009966772
"""Fox, Comcast eye ad-supported video services"",?",[0.02628057 0.03107419 0.9426453 ],neutral,-0.0047936216
"NBCUniversal eyes Vudu purchase - WSJ,?",[0.04423075 0.18414828 0.771621  ],neutral,-0.13991752
"Major pharmacy chains downplay rates of prescription mistakes,?",[0.02385743 0.86045176 0.11569075],negative,-0.83659434
"Baird stays bullish on Walmart,?",[0.03310272 0.87116915 0.09572804],negative,-0.83806646
"Walmart rallies right past rare profit miss,?",[0.39762124 0.17373143 0.4286473 ],neutral,0.22388981
"Oppenheimer stays sidelined on Walmart,?",[0.03869901 0.32924566 0.63205534],neutral,-0.29054666
"Opioid-related payouts to be less than expected - NYT,?",[0.01673502 0.9666831  0.01658187],negative,-0.9499481
"Walmart slips after comparable sales miss,?",[0.01119352 0.97256035 0.01624615],negative,-0.96136683
"Walmart raises annual dividend by 1 9% to $2 16,?",[0.9123832  0.03229595 0.05532089],positive,0.88008726
"""Walmart EPS misses by $0 06, revenue in-line"",?",[0.1887787  0.59844023 0.21278109],negative,-0.40966153
"Walmart Q4 2020 Earnings Preview,?",[0.08520854 0.44022298 0.47456846],neutral,-0.35501444
"""Amazon, Flipkart push back against Indian e-commerce tax"",?",[0.48949152 0.17752008 0.33298838],positive,0.31197143
"Walmart to go different direction with Jetblack,?",[0.055381   0.26193336 0.6826857 ],neutral,-0.20655236
"Walmart in the mix to land Pier 1 sales,?",[0.48117772 0.06281946 0.4560029 ],positive,0.41835827
"Walmart dabbles with higher starting minimum wage,?",[0.23071432 0.22497545 0.5443103 ],neutral,0.0057388693
"Walmart eyes Flipkart deal in India,?",[0.09926485 0.04615937 0.85457575],neutral,0.053105474
"Effort to crack down on e-commerce fakes,?",[0.05410825 0.26566026 0.6802315 ],neutral,-0.211552
"Tivity Health inks deal with Walmart,?",[0.07224295 0.0611615  0.8665955 ],neutral,0.011081446
"National Vision expands Walmart agreement,?",[0.6605827  0.02807733 0.31133997],positive,0.6325054
"Impinj +6% after analyst sees Walmart using RFID,?",[0.24398679 0.47526544 0.2807478 ],negative,-0.23127866
"Walmart makes some C-suite moves,?",[0.1139412  0.03552382 0.850535  ],neutral,0.078417376
"Walmart sized up after Target's guidance shocker,?",[0.39658508 0.50052416 0.10289077],negative,-0.103939086
"Retail heavyweights stung after light sales from Target,?",[0.0260887  0.9532443  0.02066706],negative,-0.9271556
"Walmart expands its robot army,?",[0.704367   0.04954632 0.24608667],positive,0.6548207
"Walmart sacks 50+ executives in India,?",[0.01205624 0.9560192  0.03192449],negative,-0.943963
"""Et tu, Walmart  Cleveland Research warns on Q4"",?",[0.05392408 0.26819757 0.6778783 ],neutral,-0.21427348
"A tale of two holidays in retail,?",[0.09432007 0.22526509 0.6804149 ],neutral,-0.13094503
"Pharmacy chains sue Ohio doctors over role in opioid epidemic,?",[0.01500427 0.9540907  0.03090509],negative,-0.93908644
"Walmart said to be eyeing Grubhub,?",[0.03636179 0.05125663 0.9123816 ],neutral,-0.014894836
"Walmart accelerates expansion in Mexico,?",[0.8799108  0.01211997 0.10796925],positive,0.8677909
"""Apple, Microsoft top Dow 2019 standings; Walgreens wobbles to the bottom"",?",[0.03133077 0.8605796  0.10808964],negative,-0.82924885
"U S  holiday shopping hits new record,?",[0.45417812 0.16263661 0.38318524],positive,0.29154152
"Super Saturday sales top Black Friday by 10%,?",[0.3819297  0.4267778  0.19129254],negative,-0.044848114
"""Roku, Walmart launch smart TVs in Mexico"",?",[0.15253887 0.01573037 0.8317307 ],neutral,0.1368085
"Walmart bets on future of supercenter,?",[0.10935327 0.06639323 0.82425356],neutral,0.042960033
"Late Cyber Monday nips at retail sales in November,?",[0.02568488 0.8843429  0.08997216],negative,-0.858658
"Bonobos founder is leaving Walmart,?",[0.03544603 0.51838744 0.44616652],negative,-0.48294142
"Consumer sector volatile as trade deal nears finish line,?",[0.01469907 0.9460728  0.0392282 ],negative,-0.9313738
"Walmart tests autonomous grocery deliveries,?",[0.03757585 0.0448378  0.9175863 ],neutral,-0.007261947
"Shopping traffic up 14% over Thanksgiving weekend,?",[0.9331309  0.04172647 0.02514266],positive,0.89140445
"Strong early read on holiday sales,?",[0.80195063 0.08785611 0.11019329],positive,0.7140945
"Mexicans sue Walmart over Texas shooting,?",[0.01236391 0.9559388  0.03169719],negative,-0.9435749
"Walmart looks to get past dog days of in-house grocery delivery,?",[0.77702177 0.02821058 0.1947677 ],positive,0.7488112
"Walmart picks new boss for Sam's Club,?",[0.06758154 0.15536341 0.7770551 ],neutral,-0.08778187
"Stocks end little changed in lackluster session,?",[0.0962019  0.7288826  0.17491554],negative,-0.6326807
"Walmart +3% after profit beat,?",[0.43769127 0.5013591  0.06094962],negative,-0.063667834
"""Walmart EPS beats by $0 07, revenue in-line"",?",[0.29330572 0.29781815 0.4088761 ],neutral,-0.0045124292
"Back to earnings    Walmart and Nvidia,?",[0.04623439 0.23423663 0.719529  ],neutral,-0.18800224
"Walmart Q3 2020 Earnings Preview,?",[0.07996873 0.40084592 0.5191853 ],neutral,-0.3208772
"Amazon pushes forward with new grocery brand,?",[0.9188937  0.01278234 0.06832404],positive,0.90611136
"Tesla and Walmart said to settle solar panel suit,?",[0.10116127 0.2826296  0.61620915],neutral,-0.18146834
"Former McDonald's CEO resigns Walmart board seat,?",[0.03236726 0.780097   0.18753578],negative,-0.7477297
"Walmart eyes Vudu sale,?",[0.04981796 0.17955537 0.77062666],neutral,-0.1297374
"Amazon invests $600M into India units,?",[0.06111734 0.00785377 0.93102896],neutral,0.053263567
"Green Dot +15 5% on Walmart MoneyCard extension,?",[0.34130523 0.07651372 0.58218104],neutral,0.2647915
"Walmart finds new boss for Jetblack,?",[0.07381384 0.5202887  0.40589735],negative,-0.44647485
"Amazon Fresh now free for Prime members,?",[0.04295412 0.01044519 0.94660074],neutral,0.032508932
"Three top retailers pull 22-ounce J&amp;J Baby Powder off shelves,?",[0.01137355 0.9590872  0.02953932],negative,-0.9477136
"Walmart to kick off holiday deals early,?",[0.06856729 0.428062   0.5033707 ],neutral,-0.3594947
"""Grocery sales up, margins not so much"",?",[0.5921394  0.28056392 0.12729666],positive,0.3115755
"Walmart launches Amazon Key rival service,?",[0.13072637 0.03376171 0.8355119 ],neutral,0.09696466
"Walmart ratchets up marketplace war with Amazon,?",[0.03161503 0.9083157  0.06006926],negative,-0.8767007
