sentence,logit,prediction,sentiment_score
"""Amazon hires former Yahoo, Slack privacy head for Alexa effort - BI"",?",[0.09865344 0.13549754 0.76584905],neutral,-0.036844097
"""Amazon launches Luna, its Stadia-like cloud videogaming service"",?",[0.11164606 0.0133924  0.87496156],neutral,0.09825366
"""Amazon debuts spherical new $99 Echo, security drone, game streaming service"",?",[0.7157296  0.0164683  0.26780212],positive,0.6992613
"Deliveroo eyes IPO for 2021,?",[0.0586902  0.09036809 0.8509417 ],neutral,-0.031677894
"""Amazon's hardware event starts at 1 PM; new Echo, Ring devices expected"",?",[0.06490284 0.01223721 0.92285997],neutral,0.052665632
"Is it the shoes  Online ETF stands out amid Nike's digital new normal,?",[0.61269546 0.02622271 0.3610818 ],positive,0.58647275
"""Nike jump, Amazon rebound lifting discretionary out of doldrums: At the Open"",?",[0.24937844 0.05858627 0.69203526],neutral,0.19079217
"Amazon to Echelon: 'Stop selling Prime Bike',?",[0.04692762 0.60989594 0.34317645],negative,-0.5629683
"""Amazon Prime Day coming October 13, say CNET sources"",?",[0.03534446 0.02528527 0.9393702 ],neutral,0.010059197
"Amazon restricts ads from device rivals - WSJ,?",[0.03095106 0.39603972 0.57300925],neutral,-0.36508867
"""Megacaps holding up against major levels, despite weakness: At the Open"",?",[0.761761   0.14869674 0.08954233],positive,0.6130643
"Amazon to be the latest Peloton challenger,?",[0.1178527  0.04740393 0.8347433 ],neutral,0.07044877
"Amazon upgraded at Bernstein on pandemic-related permanent inflection,?",[0.06029031 0.79457635 0.14513338],negative,-0.734286
"Retail check: Holiday sales seen rising 1 0% to 2 6%,?",[0.93191004 0.02716825 0.04092162],positive,0.90474176
"Amazon bringing Sidewalk shared network to Echo devices,?",[0.2488905  0.01084477 0.7402648 ],neutral,0.23804574
"""Peacock, Roku confirm streaming carriage deal; ROKU +2 2%"",?",[0.18104678 0.04883355 0.7701196 ],neutral,0.13221323
"FAANG reversal and industrial lift may be another signal of renaissance for real economy,?",[0.40390947 0.078513   0.5175775 ],neutral,0.32539648
"""Barclays sees valuations at dot-com bubble levels, cuts megacaps"",?",[0.02340072 0.92828745 0.04831187],negative,-0.9048867
"""Verizon, Amazon expand collaboration on Ring Alarm kit"",?",[0.76968545 0.01257835 0.21773615],positive,0.7571071
"RBC sees Amazon's logistics network as powerful tailwind,?",[0.18872449 0.02297042 0.78830504],neutral,0.16575406
"An antidote for waning tech lurks in materials ETF's biggest winners,?",[0.19482183 0.0791562  0.72602195],neutral,0.11566564
"""Amazon Music launches podcasts in U S , UK, Germany, Japan"",?",[0.0396968  0.01510728 0.9451959 ],neutral,0.024589514
"Retail sales breakdown: Consumers keep spending strong on the home,?",[0.7298529  0.0498903  0.22025687],positive,0.67996264
"""Amazon plans 1,000 delivery hubs in smaller towns - Bloomberg"",?",[0.04397277 0.01039555 0.9456317 ],neutral,0.033577215
"Amazon working on industrial data monitoring service - BI,?",[0.0299558  0.06581613 0.9042281 ],neutral,-0.035860334
"Amazon launches Luxury Stores with Oscar de la Renta collections,?",[0.04867777 0.01353529 0.93778694],neutral,0.035142474
"Amazon hires imply e-bike delivery plans for NYC,?",[0.04460414 0.03221915 0.92317677],neutral,0.012384996
"""Amazon's latest job spree: Another 100,000 workers"",?",[0.0651666  0.783787   0.15104643],negative,-0.7186204
"""Amid pandemic, streaming music revenues may rise by $1B-plus in 2020"",?",[0.92118764 0.01373056 0.06508173],positive,0.90745705
"HBO Max ad-supported tier likely coming in spring - report,?",[0.05694306 0.02250613 0.9205508 ],neutral,0.034436934
"Game-streaming celebrity Ninja returns to Twitch,?",[0.03911549 0.14190404 0.81898046],neutral,-0.10278855
"Amazon expands Go Grocery concept,?",[0.69386625 0.01629341 0.2898403 ],positive,0.67757285
"Amazon names former National Security Agency director to board,?",[0.04404917 0.23135863 0.72459215],neutral,-0.18730946
"Amazon ends foreign sales of seeds to U S  after mystery packages,?",[0.02493316 0.88256365 0.09250319],negative,-0.8576305
"""Bearish Benchmark raises Netflix target again, but looks to hurdles ahead"",?",[0.50398475 0.16042729 0.33558795],positive,0.34355748
"Microsoft reaffirmed as Pentagon's JEDI cloud contract winner (update),?",[0.84987    0.03430577 0.11582413],positive,0.8155643
"Apple market cap falls below $2T; Fab 5 shed $900B in two days,?",[0.01456304 0.9639932  0.02144377],negative,-0.94943017
"Apple on pace for biggest one-day drop in market cap in history at $150B,?",[0.0176061  0.95670485 0.02568909],negative,-0.9390988
"Amazon launches Alexa for Residential for smart property management,?",[0.16723397 0.01528934 0.8174767 ],neutral,0.15194464
"""Amazon adds 7,000 more UK jobs as e-commerce booms due to pandemic"",?",[0.14700247 0.7797926  0.0732049 ],negative,-0.63279015
"Big Tech responds to European tech taxes by passing on fees,?",[0.07643797 0.00817052 0.91539156],neutral,0.06826744
"""Verizon, Amazon may put $4B into Vodafone Idea - report"",?",[0.12003763 0.01262853 0.8673338 ],neutral,0.1074091
"Loeb's pivot to growth tech stocks pays off in August; Einhorn fund barely rises,?",[0.6019991  0.2801415  0.11785935],positive,0.3218576
"Amazon Music launches Twitch live-streaming integration,?",[0.18656527 0.01338595 0.8000488 ],neutral,0.17317931
"""Walmart+ focuses on loyalty, not competition with Amazon Prime"",?",[0.21984343 0.00780918 0.7723474 ],neutral,0.21203424
"""Baupost clients' skepticism of famed value fund grows, new findings show"",?",[0.29614192 0.11426228 0.58959585],neutral,0.18187964
"""Apple, Tesla moves validate early split optimism as combined market caps swell by $100B"",?",[0.72784615 0.12892209 0.1432318 ],positive,0.59892404
"Amazon Prime delivery drones cleared to fly - CNBC,?",[0.08048356 0.01460173 0.9049147 ],neutral,0.06588183
"Comcast turns attention to smart-TV competition,?",[0.03524693 0.05509802 0.9096551 ],neutral,-0.019851092
"Niche online retailers topple tech ETF juggernauts in the 'other' WFH trend,?",[0.0362941  0.8205959  0.14311005],negative,-0.7843018
"Roku tags all-time high as DB survey reinforces leadership,?",[0.8296887  0.0842439  0.08606732],positive,0.74544483
"""Amazon orders 1,800 Mercedes electric vans for European deliveries"",?",[0.14872815 0.0157137  0.8355582 ],neutral,0.13301444
"Amazon announces Halo fitness wearable; Fitbit shares dip,?",[0.01530602 0.9646072  0.02008685],negative,-0.9493012
"Amazon expands beyond Whole Foods with first Fresh store,?",[0.85583925 0.00912335 0.13503729],positive,0.8467159
"FAANG (S)  A surging Salesforce makes its case for tech titan inclusion,?",[0.61935997 0.05643936 0.32420072],positive,0.56292063
"""Netflix, Roku race toward all-time closing highs on bullish outlook"",?",[0.78967994 0.1100006  0.10031947],positive,0.67967933
"Amazon prepping luxury platform launch - WWD,?",[0.0553441  0.09894358 0.84571236],neutral,-0.043599483
"""Amazon India faces antitrust suit, opens company's largest office"",?",[0.21936871 0.20333499 0.5772963 ],neutral,0.016033724
"""Amazon's Audible taking on Spotify with cheaper plan, original content"",?",[0.77783006 0.01423221 0.20793772],positive,0.76359785
"What's powering small cap value ETFs  A relentless US consumer,?",[0.10147673 0.1544742  0.7440491 ],neutral,-0.05299747
"DoorDash plans for IPO in Q4 as demand stays strong,?",[0.4280253  0.10291952 0.46905524],neutral,0.3251058
"Microsoft building on JEDI win with push for foreign cloud deals - CNBC,?",[0.88362545 0.04451089 0.07186366],positive,0.83911455
"""Apple, Google, Roku join as distribution partners for 'Mulan'"",?",[0.19879553 0.00701996 0.7941845 ],neutral,0.19177556
"Amazon's consumer business head will retire,?",[0.03537612 0.37039617 0.59422773],neutral,-0.33502007
"Cousins Properties scores 95K square-foot Amazon lease in Tempe,?",[0.05731741 0.0126838  0.9299988 ],neutral,0.044633605
"E-commerce spending shows no signs of letting down,?",[0.28582498 0.501309   0.21286604],negative,-0.215484
"Netflix rebounding as analysts dig into subscriber growth,?",[0.91147107 0.05491841 0.0336105 ],positive,0.85655266
"Consumer smallcap ETFs harbor alpha as battle for wallets heats up,?",[0.32681632 0.08074277 0.5924409 ],neutral,0.24607354
"Verizon becomes 5G partner for Twitch Rivals North America,?",[0.29603732 0.03340615 0.67055655],neutral,0.26263118
"Amazon pushes third-party merchants for faster deliveries,?",[0.64580303 0.08085561 0.27334133],positive,0.5649474
"""Amazon adds 3,500 jobs across six cities"",?",[0.6315901  0.1738718  0.19453803],positive,0.4577183
"""Amazon, Toyota team on data services"",?",[0.03915672 0.04828216 0.9125612 ],neutral,-0.009125438
"Trump blames Amazon again for postal service woes,?",[0.02273294 0.8793997  0.09786735],negative,-0.8566668
"""Melvin Capital picks Google, Docusign, slashes Amazon, Netflix stake"",?",[0.0344606  0.6855591  0.27998036],negative,-0.6510985
"Amazon reportedly eyes Rackspace minority stake - Reuters,?",[0.04231688 0.04208257 0.9156006 ],neutral,0.000234302
"Amazon targeted by German antitrust probe,?",[0.01434461 0.9319054  0.05374995],negative,-0.91756076
"Tesco to offer challenge to Amazon Prime,?",[0.6526716  0.03507818 0.31225026],positive,0.6175934
"Sector Watch: Retail in the sights at record highs,?",[0.367988   0.18260796 0.4494041 ],neutral,0.18538003
"Post Office halts delivery box removal until after the election,?",[0.02206078 0.8278001  0.15013923],negative,-0.80573934
"Appaloosa (David Tepper) adds new stakes in AT&amp;T; trims Facebook position,?",[0.05630256 0.7822467  0.16145068],negative,-0.72594416
"Amazon suffers big court loss over product liability,?",[0.02197402 0.9463176  0.03170833],negative,-0.9243436
"""Amazon roundup: Indian pharmacy launch, AWS offers quantum simulations"",?",[0.08368745 0.00904953 0.907263  ],neutral,0.07463792
"Amazon axes several delivery partners - CNBC,?",[0.03401867 0.02261893 0.9433624 ],neutral,0.011399748
"Companies from JPMorgan to Amazon pledge to boost hiring of New York minorities,?",[0.7878707  0.02429276 0.18783651],positive,0.76357794
"""Second-half Internet stocks: More of the new trends, Baird says"",?",[0.084646   0.02042189 0.89493203],neutral,0.06422411
"""Shell Asset adds Microsoft, cuts Apple, exits Anglogold Ashanti"",?",[0.03212337 0.8125272  0.15534943],negative,-0.7804038
"Amazon renames Twitch Prime to Prime Gaming,?",[0.04231472 0.04376603 0.91391927],neutral,-0.001451314
"""Simon Property, Amazon in talks for fulfillment centers in malls - WSJ"",?",[0.04332314 0.01398411 0.94269276],neutral,0.029339027
"How will stocks perform under different U S  election scenarios ,?",[0.05865536 0.01029394 0.9310507 ],neutral,0.04836142
"Online sales stay elevated as pandemic shopping habits stick around,?",[0.7981595  0.08274307 0.11909744],positive,0.71541643
"Sanders goes after pandemic wealth gains as Biden moves closer on taxes,?",[0.3838534  0.2923531  0.32379344],positive,0.09150031
"""Evercore gets more positive on 2020 retail, and highlights names to benefit"",?",[0.9220579  0.01551279 0.06242932],positive,0.90654516
"""Loeb's Third Point takes stakes in Alibaba, JD com, PG&amp;E, Amazon in Q2"",?",[0.03700318 0.02034756 0.9426493 ],neutral,0.01665562
"Bezos sells a bit less than 1% of Amazon stake for $1 42B,?",[0.02829261 0.05494894 0.9167585 ],neutral,-0.026656331
"Are all-time low rates the key to keeping megacap momentum going ,?",[0.19870248 0.05081055 0.7504869 ],neutral,0.14789194
"""Amazon roundup: Deliveroo stake approved, Sweden launch announced"",?",[0.10212998 0.01046349 0.8874065 ],neutral,0.09166649
"Covid trends: Cloud surge and retail bankruptcies,?",[0.03375728 0.6331633  0.3330795 ],negative,-0.599406
"M&amp;A ignites dormant tech giant and ETFs from the QQQs to the ESG ETF 'SUSL',?",[0.08210885 0.07774445 0.8401467 ],neutral,0.004364394
"""NY, California AGs join FTC's Amazon probe - Bloomberg"",?",[0.08917915 0.01439676 0.8964241 ],neutral,0.074782394
"""Global Payments, Amazon Web Services in multi-year collaboration pact"",?",[0.50709164 0.01054294 0.48236543],positive,0.4965487
"""Apple, Amazon, Microsoft, Google and Facebook confound index skeptics, as their earnings beats drive the S&amp;P 500 to even greater concentration"",?",[0.17087832 0.5019194  0.3272023 ],negative,-0.33104107
"Megacap tech surge forces a rethink: fundamentals or multiple expansion ,?",[0.17124255 0.03441007 0.79434735],neutral,0.13683248
"A fund manager on Fed's bailout bias - and trends to watch from here,?",[0.07560629 0.03907927 0.88531446],neutral,0.036527026
"""Facebook surge leads tech megacaps higher, but Alphabet stumbles"",?",[0.08070119 0.8823962  0.03690257],negative,-0.80169505
"Amazon follows Microsoft in cloud deceleration,?",[0.06572665 0.1884308  0.7458425 ],neutral,-0.12270415
"Amazon +5 7% as analysts lift price targets on standout Q2,?",[0.7256572  0.23847605 0.0358667 ],positive,0.4871812
"Amazon's $10B Internet satellite plan wins FCC approval,?",[0.87719315 0.02963476 0.093172  ],positive,0.8475584
"""Big tech - Apple, Amazon, Facebook, Alphabet show rally was no fluke "",?",[0.10723399 0.05258198 0.84018403],neutral,0.054652013
"""Search trends point to ongoing interest in games, e-commerce"",?",[0.5382135  0.01585332 0.44593325],positive,0.5223602
"""Amazon +3% with revenues up 40% Y/Y in Q2, and strong guide for Q3"",?",[0.94405264 0.01575115 0.0401962 ],positive,0.9283015
"""Amazon EPS beats by $8 80, beats on revenue, AWS revenue falls short"",?",[0.02801084 0.93158895 0.04040026],negative,-0.9035781
"""Amazon, Microsoft receiving $10B Pentagon contract decision in August"",?",[0.2393724  0.09273528 0.6678923 ],neutral,0.14663711
"""Amazon, Google, Apple and Facebook report earnings after the close"",?",[0.07512586 0.10323856 0.82163554],neutral,-0.028112702
"Amazon Web Services conference goes fully virtual,?",[0.05168044 0.17303705 0.7752825 ],neutral,-0.12135661
"Amazon Q2 2020 Earnings Preview,?",[0.06744386 0.24326818 0.689288  ],neutral,-0.17582431
"Key House tech antitrust hearing under way after delay (updated),?",[0.04208205 0.20505492 0.75286305],neutral,-0.16297287
"Streaming landscape jolted as AMC caves on theatrical window ,?",[0.0577168  0.58154154 0.36074167],negative,-0.52382475
"""CEOs of Amazon, Google, Apple and Facebook testify before Congress"",?",[0.02394485 0.02664694 0.9494082 ],neutral,-0.002702093
"""Joe Biden's tax proposals would raise corporate tax for Amazon, Intel, Berkshire Hathaway and others"",?",[0.27895868 0.01561132 0.70543   ],neutral,0.26334736
"Amazon's pandemic safety practices probed by California AG,?",[0.04677824 0.15026498 0.8029568 ],neutral,-0.10348674
"Internet retail outperforms ahead of Amazon earnings,?",[0.01992068 0.9650849  0.0149944 ],negative,-0.9451642
"""Amazon, Microsoft cloud revenue threatened by tightened budgets"",?",[0.01738431 0.9433115  0.03930415],negative,-0.9259272
"""Amazon roundup: PT raises before earnings, 1,000 Irish jobs added"",?",[0.05303418 0.83299196 0.11397391],negative,-0.7799578
"Hasbro another casualty of closed movie theaters,?",[0.024578   0.8365423  0.13887972],negative,-0.81196433
"""Ahead of testimony, Facebook, Twitter, Snapchat under fire from Presidential campaigns"",?",[0.02962729 0.7258963  0.24447644],negative,-0.69626904
"House's tech antitrust hearing reset for Wednesday,?",[0.03944139 0.41795248 0.5426061 ],neutral,-0.3785111
"Shortened baseball season kills Amazon's game streaming plans,?",[0.01492683 0.93398607 0.05108707],negative,-0.9190592
"House delays high-profile tech antitrust hearing,?",[0.02275096 0.87640065 0.10084847],negative,-0.8536497
"Amazon lands lush price target from Credit Suisse ahead of earnings,?",[0.14660318 0.24243996 0.6109569 ],neutral,-0.09583677
"House's tech-antitrust hearing likely headed for delay,?",[0.02667787 0.8293273  0.14399491],negative,-0.80264944
"""Ads for streamers skyrocket, with share wars well under way"",?",[0.45213822 0.21114384 0.336718  ],positive,0.24099438
"""Google Shopping's latest move against Amazon: Zero commissions, third-party platforms"",?",[0.20181729 0.11631148 0.68187124],neutral,0.08550581
"Ascena Retail joins the retail graveyard with bankruptcy filing,?",[0.04081785 0.09170325 0.8674789 ],neutral,-0.050885405
"India roundup: Amazon makes foray into auto insurance,?",[0.7493486  0.01077986 0.23987158],positive,0.7385687
"Reinvention separates megacaps from dot-com ??winners   JMP ??Lehmann,?",[0.0996723  0.46488777 0.43543997],negative,-0.36521548
"""Apple, Amazon face antitrust probe in Italy"",?",[0.01929619 0.9140256  0.0666782 ],negative,-0.89472944
"Tesla looks pricey vs  Apple and Amazon at the $300B marker,?",[0.157262  0.3047785 0.5379595],neutral,-0.14751649
"Amazon set to erase last week ??losses as eBay also boosts discretionaries,?",[0.24435614 0.6897576  0.06588628],negative,-0.44540143
"""Amazon confirms Prime Day delay, 'more details soon'"",?",[0.0429086 0.0784052 0.8786862],neutral,-0.035496604
"Market momentum has left some high growth names behind,?",[0.28000075 0.11723629 0.602763  ],neutral,0.16276446
"""REITs sink as cash rotates back to tech, Fab 5"",?",[0.01207398 0.9552319  0.03269411],negative,-0.9431579
"Amazon gets matching Street-high targets on pandemic tailwind,?",[0.75251395 0.12470558 0.12278043],positive,0.62780833
"Weekly Wrap: Retail Holds Its Own Without Amazon,?",[0.03406246 0.04693286 0.91900474],neutral,-0.012870409
"""Amazon sees 5th-straight loss, close to correction territory"",?",[0.02754744 0.93371516 0.03873749],negative,-0.90616775
"EU antitrust watchdog probing voice assistants,?",[0.038497   0.46762335 0.49387965],neutral,-0.42912635
"Winners and losers from the June retail sales report,?",[0.06626157 0.35138965 0.58234876],neutral,-0.2851281
"Amazon extends work from home deadline,?",[0.07350712 0.34111762 0.58537525],neutral,-0.2676105
"HSBC taps AWS as long-term cloud partner,?",[0.05894602 0.0074725  0.93358153],neutral,0.05147352
"Google eyes entry into India food delivery - report,?",[0.03402677 0.07830229 0.887671  ],neutral,-0.044275522
"Amazon building health clinics near fulfillment centers,?",[0.03801209 0.09048511 0.87150276],neutral,-0.052473016
"Amazon Dash Carts will let shoppers skip the checkout line,?",[0.04537968 0.02523621 0.9293841 ],neutral,0.020143462
"Market pares gains as momentum stocks lose some steam,?",[0.0146871  0.955355   0.02995792],negative,-0.94066787
"Amazon restricts third-party storage in early holiday push,?",[0.02266167 0.803205   0.17413326],negative,-0.7805433
"Megacaps rejoin the party with stocks set for broad-based rally,?",[0.36602402 0.11301125 0.52096474],neutral,0.25301278
"Amazon gets Street-high price target on demand surge,?",[0.68206257 0.14052875 0.1774086 ],positive,0.5415338
"Sector Watch: Netflix sets the tone for streaming as Peacock lands,?",[0.11778562 0.00976426 0.8724501 ],neutral,0.108021356
"""Deconstruct FAANG stocks, and the 'N' should be replaced with another"",?",[0.09224724 0.0571586  0.85059416],neutral,0.03508864
"Shyft +14% on Amazon order,?",[0.12164728 0.3773844  0.50096834],neutral,-0.25573713
"Amazon tells employees to delete TikTok (update),?",[0.01586895 0.91216385 0.0719672 ],negative,-0.8962949
"Rivian looks to be the next EV disruptor after landing new investments,?",[0.10392472 0.01213974 0.8839355 ],neutral,0.09178498
"Amazon gets Street-high target on e-commerce trends,?",[0.7674008  0.05358176 0.17901738],positive,0.713819
"Amazon has plan to keep Zoox talent in competitive self-driving world,?",[0.61971086 0.01508346 0.36520562],positive,0.60462743
"Amazon pulls Washington Redskins merch as team weighs name change,?",[0.0489759  0.47351834 0.47750574],neutral,-0.42454243
"Tesla 'very close' to level 5 self-driving technology,?",[0.28673616 0.01874515 0.6945187 ],neutral,0.267991
"Amazon and Netflix pitched on buying a theater chain,?",[0.11494534 0.0098964  0.87515825],neutral,0.10504895
"Amazon requiring U S  sellers to list business details,?",[0.0309978  0.30557784 0.6634243 ],neutral,-0.27458003
"Amazon's price target raised again for virus tailwinds,?",[0.2728075  0.520851   0.20634148],negative,-0.2480435
"Walmart takes on Amazon with $98/year delivery service - Recode,?",[0.5098517  0.05223352 0.43791476],positive,0.45761818
"Amazon announces first Arkansas fulfillment center,?",[0.04446702 0.10142227 0.8541108 ],neutral,-0.056955248
"""Amazon passes $3,000 for first time ahead of earnings"",?",[0.5817707  0.07217493 0.34605435],positive,0.5095958
"""Amazon delaying Prime Day again, to October - report"",?",[0.07266133 0.33954352 0.58779514],neutral,-0.26688218
"Big Tech CEOs set to testify before Congress,?",[0.05418841 0.06124176 0.8845699 ],neutral,-0.007053357
"Twitch cementing dominance with new record quarter - report,?",[0.84823215 0.06679267 0.08497518],positive,0.7814395
"Amazon's 'Crucible' game goes back to closed beta,?",[0.06948344 0.07365295 0.8568636 ],neutral,-0.004169509
"Gaming and Internet ETFs top the competition in historic first half,?",[0.4671165  0.04760728 0.48527616],neutral,0.41950923
"Amazon establishes new aerospace cloud unit,?",[0.33254436 0.01699234 0.6504633 ],neutral,0.31555203
"Amazon price target raised on e-commerce trends,?",[0.1000685  0.3407658  0.55916566],neutral,-0.2406973
"Amazon looks to space for cloud computing expansion,?",[0.4247521 0.0128413 0.5624066],neutral,0.41191077
"Twitch suspends Trump under 'hateful conduct' policy,?",[0.02144094 0.9132982  0.06526097],negative,-0.89185727
"Amazon spending over $500M on worker bonuses,?",[0.05478242 0.5550479  0.39016965],negative,-0.5002655
"Amazon gets Street-high target as coronavirus spreads,?",[0.5187717  0.1699889  0.31123942],positive,0.3487828
"Amazon workers striking in Germany over virus infections,?",[0.01587456 0.94595456 0.03817083],negative,-0.93008
"""Amazon, SoftBank eye Russian e-commerce acquisition"",?",[0.04052949 0.04605075 0.9134198 ],neutral,-0.005521257
"Bezos a copycat - Elon Musk comments on Amazon's Zoox purchase,?",[0.03056662 0.09802347 0.8714099 ],neutral,-0.06745685
"Amazon price target boosted on post-pandemic positioning,?",[0.90705425 0.04734727 0.04559855],positive,0.859707
"Amazon drives into autonomous vehicle chase with Zoox acquisition,?",[0.56283224 0.0133223  0.42384547],positive,0.54950994
"Amazon launches Smart Stores in India,?",[0.13288806 0.01452587 0.8525861 ],neutral,0.11836219
"Amazon to buy Zoox for over $1B,?",[0.05524926 0.02542324 0.9193275 ],neutral,0.029826019
"Amazon to expand in Australia as online sale surges,?",[0.92371815 0.01349339 0.06278844],positive,0.9102248
"UBS reviews names to watch in 'consumerization of healthcare',?",[0.03985329 0.03861342 0.9215333 ],neutral,0.00123987
"Amazon launches cloud service for no-code apps,?",[0.10170943 0.01214941 0.88614124],neutral,0.08956002
"Amazon forms Counterfeit Crimes Unit,?",[0.03529127 0.22476684 0.73994195],neutral,-0.18947557
"Amazon preparing live TV for Prime Video - report,?",[0.03148618 0.05941445 0.90909934],neutral,-0.02792827
"Amazon's Deliveroo stake receives UK watchdog approval,?",[0.8804719  0.02268216 0.09684595],positive,0.85778975
"Amazon price target raised on potential Q2 upside,?",[0.27621636 0.5201533  0.20363039],negative,-0.24393693
"Big 5 tech stocks rallying further to new highs,?",[0.883144   0.04772787 0.06912811],positive,0.83541614
"""NBCUniversal, Google sign Peacock distribution deal"",?",[0.27329022 0.02187279 0.704837  ],neutral,0.25141743
"Amazon signs its biggest lease ever - Business Insider,?",[0.59099257 0.06709545 0.34191194],positive,0.5238971
"Amazon buying Macy's run up the flagpole again,?",[0.0711894  0.06661268 0.86219794],neutral,0.00457672
"Amazon launches $2B clean energy fund,?",[0.48633885 0.03257201 0.48108912],positive,0.45376685
"""Microsoft closing Mixer, moving content to Facebook Gaming"",?",[0.06972461 0.01028649 0.91998893],neutral,0.059438117
"""Sonos to get acquired  Apple may be lurking, Citron says"",?",[0.04999369 0.15029941 0.79970694],neutral,-0.10030572
"E-commerce giants Amazon and Alibaba move to deliver alcohol in India,?",[0.18068942 0.02980896 0.7895016 ],neutral,0.15088047
"""Amazon, Valentino file joint counterfeit suit"",?",[0.02634541 0.79048735 0.18316725],negative,-0.7641419
"""Amazon adding 3,000 workers in South Africa"",?",[0.22697671 0.3265853  0.446438  ],neutral,-0.099608585
"France calls U S  withdrawal from digital tax talks a 'provocation',?",[0.01606854 0.9313197  0.05261176],negative,-0.9152512
"Amazon could be worth $5K per share - Needham,?",[0.04615294 0.01703562 0.93681145],neutral,0.029117316
"Amazon to start using Mastercard tokens in 12 countries,?",[0.46844086 0.01247536 0.5190838 ],neutral,0.4559655
"Companies turn to wearables to fight COVID-19,?",[0.06199999 0.6748282  0.26317182],negative,-0.6128282
"""Slow return of major sports could hit media giants, retailers and betting shops"",?",[0.05217623 0.75250226 0.19532149],negative,-0.700326
"Internet still the retail hero,?",[0.10847365 0.06386296 0.82766336],neutral,0.044610694
"Oppenheimer weighs potential bidders for AT&amp;T's games business,?",[0.05821555 0.00911543 0.93266904],neutral,0.04910012
"Amazon's Bezos willing to testify before Congress,?",[0.14217941 0.02010508 0.83771545],neutral,0.122074336
"Washington joins California in probing Amazon,?",[0.15588827 0.05652041 0.7875913 ],neutral,0.09936787
"Grantham on 'fourth great stock market event' in his career,?",[0.12305027 0.09454122 0.78240854],neutral,0.028509043
"California probing Amazon's seller practices,?",[0.0425902  0.25335723 0.70405257],neutral,-0.21076703
"HBO shuffles apps in simplification effort,?",[0.07354114 0.20130537 0.7251535 ],neutral,-0.12776423
"Amazon faces EU antitrust charges over seller data,?",[0.01513168 0.9553769  0.02949146],negative,-0.9402452
"Big Tech is getting even bigger,?",[0.301224   0.04633705 0.65243894],neutral,0.25488696
"Amazon suspends police use of Rekognition,?",[0.03170837 0.70224094 0.26605064],negative,-0.6705326
"UK regulator extends Amazon-Deliveroo decision,?",[0.37370497 0.48086184 0.14543319],negative,-0.10715687
"Long-term bull call from Jefferies on online retail,?",[0.05249272 0.06467949 0.8828278 ],neutral,-0.012186766
"""Amazon, Goldman offering small business credit lines - CNBC"",?",[0.02959895 0.03415183 0.93624926],neutral,-0.00455288
"""Gundlach sees stocks falling, gold rising despite 'Superman' Powell's heavy lifting"",?",[0.10641881 0.76941925 0.12416193],negative,-0.66300046
"Amazon ramps up coronavirus testing plans,?",[0.5120549  0.02015787 0.46778724],positive,0.49189705
"Amazon target lifted on 'exceptionally strong' demand,?",[0.8985552  0.03536904 0.06607582],positive,0.8631862
"3M sues seller over fake N95 respirators,?",[0.01536533 0.95048577 0.03414893],negative,-0.93512046
"Amazon gains after Street-high price target,?",[0.89061546 0.06414006 0.04524454],positive,0.8264754
"Druckenmiller 'humbled' by market rally,?",[0.78708124 0.08860213 0.12431656],positive,0.6984791
